"date","lat","lon","region","site","band_id","species","sex","ageclass","mass","Massinacuracy","forearm","ear","repro_status","Comments","capture_time","release_time","month","season"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0420","Myotis lucifugus","Female","Adult",8.5,NA,39.20000076,12,"POST","nips very dry, little bit of milk","22:55- 23:35","23:47",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0674","Myotis lucifugus","Female","Juvenile",6.900000095,NA,38.20000076,12,"JUV",NA,"22:55- 23:35","23:50",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0675","Myotis lucifugus","Male","Juvenile",7,NA,36.79999924,13,"JUV",NA,"22:55- 23:35","23:51",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0676","Myotis lucifugus","Male","Juvenile",8.100000381,NA,38.70000076,13,"JUV",NA,"22:55- 23:35","23:53",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0677","Myotis lucifugus","Male","Juvenile",7.300000191,NA,37.59999847,12,"JUV",NA,"22:55- 23:35","23:56",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0678","Myotis lucifugus","Male","Juvenile",5.900000095,NA,36.59999847,12,"JUV",NA,"22:55- 23:35","23:57",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0679","Myotis lucifugus","Male","Juvenile",7.400000095,NA,38.20000076,13,"JUV",NA,"22:55- 23:35","23:59",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0680","Myotis lucifugus","Female","Juvenile",7,NA,39,13,"JUV",NA,"22:55- 23:35","0:01",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0681","Myotis lucifugus","Female","Adult",8.699999809,NA,39.40000153,13,"LAC","milk","22:55- 23:35","0:02",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0682","Myotis lucifugus","Female","Adult",8.800000191,NA,38.90000153,12,"POST",NA,"22:55- 23:35","0:08",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0683","Myotis lucifugus","Female","Adult",8.5,NA,39.09999847,13,"LAC",NA,"22:55- 23:35","0:06",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0685","Myotis lucifugus","Female","Adult",9.199999809,NA,40.40000153,14,"LAC","milk","22:55- 23:35","0:09",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0686","Myotis lucifugus","Female","Adult",9.300000191,NA,39.90000153,13,"LAC","milk","22:55- 23:35","0:10",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0687","Myotis lucifugus","Female","Adult",9,NA,38.79999924,12,"POST",NA,"22:55- 23:35","0:13",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0688","Myotis lucifugus","Female","Adult",9.800000191,NA,38.79999924,13,"LAC","milk","22:55- 23:35","0:15",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0689","Myotis lucifugus","Female","Adult",9.100000381,NA,40.09999847,13,"LAC","milk","22:55- 23:35","0:16",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0690","Myotis lucifugus","Female","Adult",8.899999619,NA,39.59999847,13,"NOP",NA,"22:55- 23:35","0:17",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0691","Myotis lucifugus","Female","Adult",8.699999809,NA,38.20000076,13,"LAC","milk","22:55- 23:35","0:23",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0692","Myotis lucifugus","Female","Adult",8.899999619,NA,38.90000153,12,"LAC","milk","22:55- 23:35","0:25",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0693","Myotis lucifugus","Female","Juvenile",8.100000381,NA,39.40000153,12,"JUV",NA,"22:55- 23:35","0:27",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0694","Myotis lucifugus","Female","Adult",9,NA,39.20000076,12,"NOP",NA,"22:55- 23:35","0:29",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0695","Myotis lucifugus","Female","Adult",8.100000381,NA,39.5,13,"POST",NA,"22:55- 23:35","0:31",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0696","Myotis lucifugus","Female","Adult",9.199999809,NA,39.5,13,"LAC","milk","22:55- 23:35","0:34",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0697","Myotis lucifugus","Female","Adult",9.699999809,NA,40.09999847,13,"LAC","no left tragus; milk","22:55- 23:35","0:38",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0698","Myotis lucifugus","Female","Adult",8.600000381,NA,38.59999847,12,"LAC","milk","22:55- 23:35","0:37",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0699","Myotis lucifugus","Female","Adult",8.699999809,NA,39.90000153,13,"LAC","milk","22:55- 23:35","0:40",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0701","Myotis lucifugus","Female","Adult",8.300000191,NA,38.59999847,13,"LAC","milk","22:55- 23:35","0:50",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0702","Myotis lucifugus","Male","Juvenile",7.900000095,NA,39,12,"JUV",NA,"22:55- 23:35","0:52",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0703","Myotis lucifugus","Male","Juvenile",6.900000095,NA,38.20000076,12,"JUV",NA,"22:55- 23:35","0:54",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0704","Myotis lucifugus","Female","Juvenile",7.199999809,NA,39.09999847,13,"JUV","tick behind right ear","22:55- 23:35","0:57",7,"Summer"
2012-07-18,60.09,-112.25,"Salt River","Thebacha cabins","UC0705","Myotis lucifugus","Male","Juvenile",7.199999809,NA,37.40000153,12,"JUV",NA,"23:35","0:59",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0176","Myotis lucifugus","Female","Adult",10.39999962,NA,40,13,"LAC",NA,"0:40","1:24",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0188","Myotis lucifugus","Female","Adult",9.199999809,NA,39.20000076,14,"NOP",NA,"23:58","1:08",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0195","Myotis lucifugus","Female","Adult",9.699999809,NA,40.40000153,13,"NOP",NA,"0:38","1:16",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0197","Myotis lucifugus","Female","Adult",10.89999962,NA,38.70000076,12,"LAC","bare back","0:40","1:28",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0214","Myotis lucifugus","Female","Adult",8.199999809,NA,36.40000153,12,"NOP",NA,"0:40","1:26",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0443","Myotis lucifugus","Female","Adult",10,NA,38.90000153,12,"NOP","1 x 6 m behind shower building, 1 x 9 m in forest - open at 11:25","23:58","1:05",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0444","Myotis lucifugus","Female","Adult",9.699999809,NA,38.20000076,11,"PREG","milk","0:38","1:22",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0641","Myotis lucifugus","Female","Adult",9.300000191,NA,41.29999924,12,"NOP",NA,"0:15","1:13",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0646","Myotis lucifugus","Female","Adult",9.399999619,NA,40.5,13,"NOP","fleas","0:15","1:15",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0651","Myotis lucifugus","Female","Adult",10.39999962,NA,39.40000153,12,"PREG","feels like early preg","23:58","1:11",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0654","Myotis lucifugus","Female","Adult",8.100000381,NA,36.5,13,"NOP",NA,"23:58","1:06",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0736","Myotis lucifugus","Female","Adult",12.30000019,NA,40.5,13,"LAC",NA,"0:53","1:56",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0737","Myotis lucifugus","Female","Adult",10.39999962,NA,38.09999847,13,"LAC","expressed milk","0:53","1:54",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0738","Myotis lucifugus","Female","Adult",10,NA,39.29999924,12,"NOP",NA,"0:48","1:52",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0739","Myotis lucifugus","Female","Adult",9.5,NA,38.79999924,12,"NOP",NA,"0:38","1:50",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0740","Myotis lucifugus","Female","Adult",9.699999809,NA,40,14,"NOP",NA,"0:38","1:50",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0743","Myotis lucifugus","Female","Adult",9.699999809,NA,40.59999847,14,"NOP",NA,"0:15","1:43",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0744","Myotis lucifugus","Female","Adult",10.5,NA,40,12,"NOP",NA,"0:10","1:42",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0745","Myotis lucifugus","Female","Adult",8.899999619,NA,39,13,"NOP",NA,"0:08","1:40",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0746","Myotis lucifugus","Female","Adult",9.399999619,NA,40.59999847,12,"LAC",NA,"23:58","1:39",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0747","Myotis lucifugus","Female","Adult",8.600000381,NA,38.20000076,13.5,"NOP","fleas","23:58","1:38",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0748","Myotis lucifugus","Female","Adult",9.300000191,NA,40,12,"NOP",NA,"23:58","1:35",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0749","Myotis lucifugus","Female","Adult",8.600000381,NA,38.79999924,11,"NOP",NA,"23:58","1:33",7,"Summer"
2012-07-19,60.96,-117.33,"Kakisa","Lady Evelyn Falls Campground","UC0750","Myotis lucifugus","Female","Adult",10.60000038,NA,38.59999847,14,"LAC","milk","0:38","1:18",7,"Summer"
