Night_date,Latitude,Longitude,Region,Site,BandID,Species,Sex,Ageclass,Massg,Massinacuracy,Forearmlengthmm,Earlengthmm,Reproductivestatus,Comments,Capturetime,Releasetime
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0762,Myotis lucifugus,Female,Adult,8.199999809,,39.40000153,12,NOP,,23:11,1:21
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0763,Myotis lucifugus,Female,Adult,9.100000381,,38.79999924,12,NOP,,23:11,1:20
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0764,Myotis lucifugus,Male,Adult,7.599999905,,37.09999847,12,,,23:11,1:19
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0765,Myotis lucifugus,Male,Adult,7.699999809,,37.79999924,12,,,23:10,1:16
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0766,Myotis lucifugus,Male,Adult,7.800000191,,36.09999847,13,,,23:10,1:15
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0767,Myotis lucifugus,Female,Adult,7.800000191,,37.70000076,12,NOP,fleas,23:10,1:12
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0768,Myotis lucifugus,Female,Adult,8.100000381,,38.59999847,11,NOP,,23:10,1:11
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0769,Myotis lucifugus,Male,Adult,8.5,,39.90000153,13,,,23:10,1:10
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0770,Myotis lucifugus,Male,Adult,7.599999905,,38.70000076,12,,,23:09,1:07
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0771,Myotis lucifugus,Male,Adult,7.699999809,,37,12,,,23:09,1:05
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0772,Myotis lucifugus,Male,Adult,7.800000191,,38.20000076,12,,,23:09,1:03
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0773,Myotis lucifugus,Male,Adult,7.699999809,,37.20000076,14,,,23:09,0:59
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0774,Myotis lucifugus,Male,Adult,7.5,,36.40000153,12,,,23:09,0:58
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0776,Myotis lucifugus,Male,Adult,7.599999905,,37.5,12,,photo of wet fur,23:07,0:54
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0777,Myotis lucifugus,Female,Adult,8.100000381,,39.29999924,13,NOP,,23:05,0:51
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0778,Myotis lucifugus,Male,Adult,8.399999619,,38.20000076,12,,,23:04,0:45
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0779,Myotis lucifugus,Male,Adult,7.300000191,,37.29999924,1,,mites in ear,23:04,0:50
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0781,Myotis lucifugus,Male,Adult,7.099999905,,37.90000153,14,,,23:00,0:40
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0782,Myotis lucifugus,Male,Adult,7.800000191,,36.40000153,14,,,22:58,0:38
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0784,Myotis lucifugus,Male,Adult,7.199999809,,36.90000153,14,,,22:51,0:34
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0785,Myotis lucifugus,Male,Adult,7.300000191,,36.09999847,11,,,22:52,0:32
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0786,Myotis lucifugus,Male,Adult,8.5,,38.70000076,13,,,22:54,0:28
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0787,Myotis lucifugus,Male,Adult,8.300000191,,38,12,,right tooth missing,22:54,0:25
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0788,Myotis lucifugus,Male,Adult,7.400000095,,38.59999847,12,,,22:56,0:22
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0789,Myotis lucifugus,Male,Adult,7.099999905,,38.29999924,12,,,22:57,0:21
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0791,Myotis lucifugus,Female,Adult,7.900000095,,38.20000076,11,NOP,,22:59,0:09
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0792,Myotis lucifugus,Male,Adult,7.800000191,,37.70000076,13,,,22:59,0:07
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0793,Myotis lucifugus,Male,Adult,9,,39,14,,,22:49,0:04
7/25/12,60.1,-112.7,Little Buffalo Falls,SSR-1,UC0794,Myotis lucifugus,Male,Adult,7.900000095,,38.20000076,13,,,22:46,23:58
