D:\Agilent\ICPMH\1\DATA\Rachel Johnson\PC_LGH_20230328_#2.b\PCBN_PCBO_PCBP.d
Intensity Vs Time,CPS
Acquired      : 2023-03-28 16:42:53 using Batch PC_LGH_20230328_#2.b
Time [Sec],Mg24,Ca43,Ca44,Mn55,Zn66,Sr88,Ba137
273.9876,350.00,700.01,357533.73,14448.82,326.67,140.00,10.00
274.9630,110.00,500.01,359910.91,14178.62,430.00,140.00,0.00
275.9378,120.00,100.00,375709.48,13908.42,310.00,10.00,0.00
276.9126,100.00,0.00,361269.44,14799.09,390.00,50.00,0.00
277.8880,40.00,133.33,373466.32,14478.85,420.00,40.00,0.00
278.8629,120.00,0.00,366670.45,14101.90,316.67,60.00,0.00
279.8377,90.00,100.00,351049.00,14298.71,376.67,30.00,0.00
280.8125,160.00,66.67,352372.92,13945.12,406.67,60.00,0.00
281.7879,140.00,133.33,362661.92,14739.05,490.01,2990.24,500.01
282.7628,14615.46,6767.86,466332.33,19853.70,5807.56,18599.36,1340.05
283.7376,18048.34,30390.69,820440.58,26969.12,5767.55,21892.97,1200.04
284.7130,12463.98,30591.01,847966.03,27773.61,4950.65,18659.42,1100.03
285.6878,12133.77,27953.66,802192.73,27486.53,5034.01,17948.72,1050.03
286.6627,12053.72,24215.26,733698.19,26381.64,4977.32,20561.44,850.02
287.6380,12383.92,25149.79,754065.45,26785.53,5470.79,20561.44,940.03
288.6129,14095.09,26451.54,801185.24,26127.95,4463.86,20961.89,1180.04
289.5877,14185.15,29489.29,892240.64,29472.84,4530.55,18178.94,1330.05
290.5626,13944.98,29522.68,834181.01,25350.23,4863.96,18779.54,1140.04
291.5379,10652.91,23714.63,756560.82,28084.07,5337.42,20221.06,1030.03
292.5128,13214.47,25249.92,760061.80,26334.90,4977.32,18589.35,1130.04
293.4876,13184.45,26017.61,814668.83,26895.69,4733.93,18569.33,1080.03
294.4630,12524.01,28921.76,792293.83,28214.27,4660.58,18929.70,1290.05
295.4378,12473.98,25316.68,788995.33,31001.94,4937.31,19300.08,1130.04
296.4127,11953.66,31859.74,858067.21,29195.75,5677.52,20771.67,1100.03
297.3875,11903.63,26318.02,805354.45,28668.27,4857.29,20751.65,1230.04
298.3629,14315.24,29589.45,781011.80,28631.55,5004.00,20371.23,1290.05
299.3377,12293.87,25216.55,811714.15,27950.54,4957.32,19420.20,1440.06
300.3126,10993.09,24982.91,781879.44,27720.20,5400.77,18659.42,1390.05
301.2879,13174.44,24982.91,852911.41,27446.47,5310.75,20070.90,1820.09
302.2628,12253.84,29889.91,873403.14,27840.38,5114.03,22123.24,1380.05
303.2376,14665.50,31626.02,815537.97,27987.26,4443.86,20711.61,880.02
304.2130,13354.56,26985.61,822666.16,27416.43,5714.20,17528.31,1170.04
305.1878,13244.49,27519.71,790870.27,28040.67,4470.53,19079.85,1080.03
306.1627,12273.85,23781.38,765227.88,29222.45,4900.64,17087.90,1170.04
307.1375,10362.75,22613.31,739203.53,25767.46,4840.62,20471.34,1340.05
308.1139,14125.10,26318.02,779137.84,26221.41,4577.22,21382.37,1150.04
309.0888,14565.43,35332.48,877238.95,28224.28,4733.93,19390.17,980.03
310.0636,12704.13,32494.14,797954.64,28447.95,4377.17,19280.06,1330.05
311.0380,12934.28,27152.52,786599.95,26087.89,5247.40,21862.93,1050.03
312.0138,11513.39,26251.26,724560.56,25837.55,4437.19,20261.11,1070.03
312.9887,11533.40,27886.90,762835.30,26017.80,2703.53,6871.28,290.00
313.9635,2550.17,5700.85,419468.99,15186.07,546.67,990.03,0.00
314.9389,290.00,600.01,270222.87,13668.25,333.34,140.00,0.00
315.9137,180.00,0.00,269715.83,13191.24,340.00,80.00,20.00
316.8886,80.00,0.00,261604.68,11997.12,263.34,30.00,0.00
317.8639,60.00,66.67,281246.26,13094.51,380.00,50.00,0.00
318.8388,30.00,33.33,344566.41,13825.03,363.34,40.00,0.00
319.8136,80.00,66.67,374757.82,14118.58,386.67,70.00,0.00
