"Run_ID","Sample_type","Capture_date","Section","Sex","FL_cm","CWT","CWT_Release_Location","CWT_Hatchery_Location","CWT_Age","Age_all","Known_Origin","region_mean","region_sd","grouped_classification","simplified_classification","AME","BAT","BUT","CNH","DEE","FEA","FRH","MEH","MER","MIL","MOH","MOK","NIH","PUC","SAC","STA","THE","TUO","YUB"
"PC_2016_09_A4.run","Juvenile","2017-05-10","RST","N/A","0.94","N/A","N/A","N/A",NA,NA,"",0.706295638541667,2.99261282685741e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.928","0","0.012","0","0","0"
"PC_2016_09_A5.run","Juvenile","2017-05-10","RST","N/A","0.96","N/A","N/A","N/A",NA,NA,"",0.706303910555556,4.09203853228078e-05,"PUC","Wild","0","0","0","0","0","0.078","0","0","0","0","0","0","0","0.886","0","0.036","0","0","0"
"PC_2016_09_A6.run","Juvenile","2017-05-10","RST","N/A","0.98","N/A","N/A","N/A",NA,NA,"",0.706428596551724,2.27812054860689e-05,"FEAPUC","Wild","0","0","0","0","0","0.578","0","0","0","0","0","0","0","0.232","0","0.19","0","0","0"
"PC_2016_09_B1.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706331384642857,6.43112512979357e-05,"FEAPUC","Wild","0","0","0","0","0","0.372","0","0","0","0","0","0","0","0.6","0","0.028","0","0","0"
"PC_2016_09_B2.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706285451428571,3.71686540201164e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.932","0","0.008","0","0","0"
"PC_2016_09_B3.run","Juvenile","2017-05-10","RST","N/A","0.9","N/A","N/A","N/A",NA,NA,"",0.7062459825,2.397032136644e-05,"FEAPUC","Wild","0","0","0","0","0","0.546","0","0","0","0","0","0","0","0.452","0","0.002","0","0","0"
"PC_2016_09_B4.run","Juvenile","2017-05-10","RST","N/A","0.99","N/A","N/A","N/A",NA,NA,"",0.706225380909091,3.78616624681118e-05,"FEA","Wild","0","0","0","0","0","0.8","0","0","0","0","0","0","0","0.198","0","0.002","0","0","0"
"PC_2016_09_B5.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706295665,2.77531607632922e-05,"PUC","Wild","0","0","0","0","0","0.06","0","0","0","0","0","0","0","0.928","0","0.012","0","0","0"
"PC_2016_09_B6.run","Juvenile","2017-05-10","RST","N/A","0.9","N/A","N/A","N/A",NA,NA,"",0.706271796923077,3.66627579725548e-05,"PUC","Wild","0","0","0","0","0","0.166","0","0","0","0","0","0","0","0.828","0","0.006","0","0","0"
"PC_2016_09_C1.run","Juvenile","2017-05-10","RST","N/A","0.95","N/A","N/A","N/A",NA,NA,"",0.706383393191489,1.80205900480565e-05,"PUC","Wild","0","0","0","0","0","0.124","0","0","0","0","0","0","0","0.854","0","0.022","0","0","0"
